Фінансовий результат (сальдо),місто/райони
Усього1,місто
м.Одеса,місто
м.Балта,місто
м.Білгород-Дністровський,місто
М.Біляївка,місто
м.Ізмаїл,місто
м.Чорноморськ,місто
м.Подільськ,місто
м.Теплодар,місто
м.Южне,місто
Ананьївський,райони
Арцизький,райони
Балтський,райони
Білгород-Дністровський,райони
Біляївський,райони
Березівський,райони
Болградський,райони
Великомихайлівський,райони
Іванівський,райони
Ізмаїльський,райони
Кілійський,райони
Кодимський,райони
Лиманський,райони
Подільський,райони
Окнянський,райони
Любашівський,райони
Миколаївський,райони
Овідіопольський,райони
Роздільнянський,райони
Ренійський,райони
Савранський,райони
Саратський,райони
Тарутинський,райони
Татарбунарський,райони
Захарівський,райони
Ширяївський,райони
